crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21
1,0,0.188982236504613,0.906899682117107,p6,C6,0,0.0939379912714286,-0.0263227081428569,-0.191776294442857,-0.273758537795554,0.451080848414285,-0.150040622969205,-0.263204865871428,0.0973952066834908,0.379652276985715,0.22111312150984,0.022509419842857,0.344831036336188,0.1653665627,-0.397476452621902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,0.183012701892219,0.850510631037622,p6m,D6,0,-0.03066907064855,0.238787642389614,-0.347656368930197,-0.310250463186661,0.335356333135889,0.238787642590378,-0.0306690707644608,-0.127237761394824,0.152343631301625,-0.444225059402224,0.335356333019979,-0.12723776119406,-0.347656368814286,0.055774940597777,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
3,1,0.167904666868183,0.715884263391751,p3m1,D3,0,-0.209917920414285,0.436987984336186,-0.419098506841949,-0.261132752110192,-0.0007373345291867,-0.261132753049943,-0.209917919871721,0.10117865059982,0.290082078724337,0.342192458970457,0.457986746884586,0.0513730458728097,0.122177413148219,0.0513730443808612,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1
4,2,0.167289251307356,0.710646065706234,cmm,D2,0,-0.365697160793198,-0.16678841963646,0.0035632876805281,0.391259803047446,0.134302839233295,-0.4747656007425,0.0035632877066638,-0.166788419642139,0.318933063455728,-0.0550535595675259,0.318933063455935,0.279524943047189,-0.181066936538951,0.11223569169399,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0
5,4,0.166666666666685,0.70536641942457,p3m1,D3,1,0.0118705519939118,-0.463794740625158,-0.424521117070533,0.0207363726200057,0.408812312595113,-0.267938817592315,-0.257854354071537,-0.267938706357331,0.242145549596116,0.0207362613850226,-0.0911877837371804,0.0207364838549887,0.0754790755941099,0.309411507214786,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1
6,1,0.166666666666666,0.705366419424416,p6m,D6,0,-0.167554126645985,0.40453059645182,0.165779206687348,0.404530596394948,0.165779206588842,-0.172819672794677,-0.334220793361905,0.115855461885443,0.332445873304762,0.115855461771699,-0.167554126744491,-0.172819672737805,-0.0008874600285714,0.115855461828571,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
7,4,0.166666666666666,0.705366419424415,cmm,D2,0,0.260500075328571,-0.367310267651214,-0.239499924671429,-0.0786351330564029,0.260500075328572,0.210040001538411,-0.0728332580047618,-0.367310267651215,0.0938334086619047,0.498715136133224,0.0938334086619048,-0.0786351330564015,0.427166741995238,-0.0786351330564016,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
8,1,0.160366291552131,0.65304551877535,cmm,D2,0,0.100160304938161,0.395482345269046,0.170072905982717,-0.222231982953401,0.37307783109041,0.129382861519838,-0.196834769954146,-0.118928214042153,0.0565316690588425,0.0777309770642142,0.486619068014286,-0.170580098497777,-0.0832935330302709,-0.418891174059768,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0
9,2,0.159074095500359,0.642563727334794,p1,C1,0,-0.0452868672200818,0.550484347618045,0.287895832428028,0.0723367162798956,-0.395588273195296,0.104523049465936,0.0598507596699137,-0.149504930458889,-0.150424737326239,-0.48157665742305,0.166091157050436,-0.449390324237009,-0.256665134706762,-0.18169126364493,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
10,3,0.158013906556541,0.634027217177146,cm,D1,0,0.275153134760949,-0.369587136101594,-0.424009262320522,-0.195898465074188,-0.022335180594991,-0.0450323265297877,0.443662185347821,0.224011378138951,-0.243257864440194,0.180947200028858,-0.141580483464545,-0.337699605883981,0.293562633311482,-0.0540959808782587,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0
11,3,0.155640702188501,0.61512537671141,cmm,D2,0,-0.002586707059045,-0.200341286513859,0.497413292717252,-0.200341293094038,0.247413290388359,0.232671405542347,-0.0638681139886434,0.232671411937497,-0.441305305234639,0.232671411937497,0.247413290388359,-0.385803180139523,-0.252586709611641,-0.0148793997699221,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0
12,3,0.155576018215033,0.614614193133807,cmm,D2,0,0.027985196978356,-0.339129269346151,-0.316438782119535,0.257430568001975,-0.12759081840799,-0.06966369972531,0.432276633096207,0.0739322104497071,-0.0318822506107844,0.383300223401068,-0.412147348816501,-0.195533357611742,0.123693767980247,0.113834655630453,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
13,3,0.15513325512517,0.611120836651358,cmm,D2,0,-0.101147003582551,0.223261448662983,-0.138544362998334,-0.332497444481585,0.475021061494693,0.109696024229651,0.285287571937661,-0.218932020025323,0.167551676284907,0.0681281936194245,-0.407243042852553,-0.177364189415096,0.130154316716177,-0.487630699790055,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0
14,3,0.15513325512517,0.611120836651357,cmm,D2,1,0.0074143057,0.5461661005,0.230510755211264,-0.173317063871053,-0.0797557550390758,-0.17331706382376,0.230510755237718,0.136949446379287,-0.269489244823472,0.382441829663046,-0.0797557550126215,0.13694944642658,-0.0797557550738122,-0.4835835740741,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
15,3,0.150048923399032,0.571719556878607,cmm,D2,1,0.1687249814,-0.2205064109,-0.0812844501369787,0.0504307874703304,0.418715549890974,0.0504307875695856,0.0186666261704451,0.333394566067206,-0.181235526697443,-0.232532991037164,0.318764472968509,0.333394565949211,-0.481333373495506,-0.232532990919168,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
16,4,0.148267582704314,0.558225530512553,cmm,D2,1,0.0388932795,-0.0284316066,-0.245068538875897,-0.248493234825392,0.322753124842922,0.32885704662542,0.322753124842564,-0.248493234825392,-0.245068538876254,0.32885704662542,-0.312890124312352,0.040181905899972,0.390574710279019,0.040181905899972,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
17,4,0.144337567297409,0.52902481456833,cm,D1,0,0.234442546125928,-0.313117685009981,-0.0156193340282574,-0.457562431858268,-0.265619310485838,0.264125445405428,-0.0155575019821539,-0.168780201038236,-0.0155575019821706,0.4085700681514,-0.265557486698957,-0.313117794806925,-0.0155575325485539,0.119894933556582,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
18,3,0.144337567297406,0.529024814568313,p6m,D6,2,-0.2748645099,0.2079002926,0.4147926113,0.0371318345,0.0705592871989356,0.124776895699642,-0.179440713067541,-0.308235806037405,0.320559286924508,-0.308235806361521,0.0705592870220484,0.413452030294455,0.0705592870220482,-0.163898238895171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
19,5,0.144337567297406,0.529024814568307,pmm,D2,1,-0.156474374041587,-0.147739742651506,0.0935256259607103,-0.0034021753580821,0.0935256259541558,0.285272959236731,0.093525625956112,-0.292077309952895,-0.406474374043884,-0.0034021753580823,-0.406474374039286,-0.292077309952895,-0.406474374046221,0.285272959236731,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
20,4,0.133974596216146,0.455787273485211,cm,D1,0,0.0312885895219107,-0.161373962374946,-0.334735877461574,0.204651982271776,-0.468711410478089,-0.295347476865941,0.29923778195202,-0.161372880649795,-0.468711410478089,-0.0273982844336488,-0.236660602908199,-0.161372880649795,-0.200762218047979,0.436703330702351,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
21,2,0.133974596215561,0.455787273481231,p6m,D6,1,-0.0295199572,0.5304059251,-0.0519654413677634,-0.346024058843708,-0.417990845125557,0.287950537387237,0.314059962443321,0.28795053735647,-0.051965441654316,-0.0780748664125848,-0.185940037413403,0.153975941419838,0.0820091550177192,0.153975940892747,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
22,4,0.133974596215561,0.455787273481227,p3m1,D3,0,0.161232806771428,-0.190995940401276,-0.20479259701301,0.442978655814287,0.0272582105558683,-0.423046747970153,-0.338767193228571,-0.0570213441857143,0.42918199920255,-0.190995940401274,-0.106716385659695,-0.190995940401277,-0.33876719322857,0.210927848245409,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
23,3,0.131491848659834,0.439050972488106,cm,D1,1,-0.2974116488,-0.0965141327,0.211279587427428,0.417448205865192,0.0270251122331357,0.0983100933066793,0.228896294739742,-0.382831815739109,-0.0340874025799287,-0.382831815739124,0.097404446079892,-0.155081253079125,-0.0433531426002679,0.351701739385488,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0
24,4,0.130750905485877,0.43411689824849,cm,D1,0,-0.0215927503495775,-0.4185155072559,-0.446104382264436,-0.173423602295766,-0.354926711371343,0.246001513097941,0.296051219120016,-0.129840770307761,-0.18826031325728,0.0444934267063712,0.038206898179898,-0.0862574787795024,-0.188260313257277,-0.217008384265383,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1
25,4,0.130750905485339,0.434116898244919,cmm,D2,1,-0.1726120706,-0.1091771811,0.48124561869661,-0.0647703540868616,0.390068114970021,0.180321179743118,0.0567347436270642,-0.397029155281105,0.314578990039615,-0.353445422846991,-0.427576738884777,-0.30986183632141,-0.201109527448533,-0.44061274180675,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
26,5,0.130105693673957,0.429843027160835,p2,C2,0,0.449282390214736,0.17379194548077,-0.368427544126848,0.359480658298154,0.266992324555894,-0.0118967673361953,-0.429190850656481,-0.279766264596247,-0.172244368915447,-0.238675248224884,0.3138624580039,-0.320855970303997,0.0847023224242457,-0.1975855425176,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
27,4,0.127520055582102,0.41292793820484,cmm,D2,1,-0.3730994652,0.0352737949,-0.240724694456028,0.331945515288316,-0.0198534796552054,0.204425458924392,0.369710910870418,0.268185483163334,0.119710910868389,-0.164827218654985,0.0384040878579021,-0.406559837129595,0.201017733614525,0.0769053999085384,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
28,3,0.125,0.396768610926235,pmm,D2,3,-0.4472240715,0.1046920895,0.1630796748,0.3005676312,0.4839204737,-0.2614544414,0.116716793230154,-0.260179907760526,-0.258283206975501,0.389339144959068,-0.0082832058952223,-0.0436735563094526,-0.133283206459431,0.172832794310911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
29,6,0.125,0.396768610926233,cmm,D2,0,-0.199416525123752,-0.325265365676562,0.0505834748762488,0.540760037631858,0.300583475032348,0.107747335829762,0.0505834750323485,0.107747336125532,-0.0744165248550751,-0.108759014885574,0.42558347514939,-0.108759015048773,0.175583475288492,0.324253686923757,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0
30,6,0.123717914826348,0.388671292335903,cmm,D2,0,-0.243590367278607,0.335257254748499,-0.0293046529868626,0.211539339932594,0.0421239184229336,-0.407050234231667,0.399266775567743,-0.0358964897492409,-0.386447510152279,-0.159614404585524,0.184981061292753,0.0878214250956823,-0.172161795865682,-0.283332319410343,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
31,4,0.112004618869897,0.31855846216859,p3m1,D3,0,0.0445191699344308,0.359349259649435,-0.261483139177743,-0.170662287663232,0.350521479633013,-0.170662287489818,0.0445191700397985,0.13534002190964,-0.0674854486234345,-0.0586576687747277,0.15652378911636,-0.0586576685360923,-0.455480829822425,-0.282666906395206,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0
32,5,0.109637631717754,0.305236575552137,cmm,D2,0,0.475532600882218,0.0522964959097574,0.435464802689212,0.267879919907699,0.102131391328938,-0.30947048442855,0.30886601224249,-0.236378503538431,-0.294501298214286,-0.272924493983492,-0.484399246770961,-0.163286862265737,-0.10460334965761,-0.382562125701246,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
33,4,0.1,0.25393191099279,cmm,D2,2,0.2703868463,-0.1426530673,-0.1670197314,0.0700520205,0.02332987872,-0.431787156815716,-0.17667012128,-0.431787156838879,0.22332987872,-0.431787157562152,0.12332987872,0.434238246950883,-0.07667012128,0.434238246965865,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
34,5,0.0833333333333333,0.176341604856104,pmm,D2,1,0.0579276653,0.5183885898,0.347494561349734,-0.22472206922929,0.430827894683448,-0.0803845019321027,0.264161228016782,-0.369059636526916,-0.402505438649714,0.208290632662611,-0.485838771983461,0.0639530653654435,-0.31917210531679,0.352628199960254,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
35,6,0.0714285714285713,0.129557097445301,cmm,D2,0,-0.128958413970949,-0.362844345848274,-0.20038698624912,-0.239126431512443,-0.0575298433904012,-0.48656226116423,-0.343244128479359,0.0083093985021969,-0.41467270014131,0.132027313193804,-0.271815558011742,-0.115408516878959,-0.486101272457119,0.255745227507905,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
